Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2)
1106,0.08,9.31,0.87
1209,0.08,9.29,0.93
1311,0.08,9.32,0.92
1414,0.08,9.3,0.93
1517,0.07,9.32,0.93
1619,0.06,9.31,0.92
1722,0.07,9.3,0.92
1825,0.08,9.29,0.93
1928,0.07,9.3,0.96
2030,0.08,9.3,0.96
2134,0.05,9.29,0.95
2237,0.09,9.33,0.94
2339,0.09,9.3,0.93
2442,0.08,9.31,0.92
2545,0.08,9.28,0.9
2649,0.08,9.31,0.92
2751,0.09,9.3,0.9
2853,0.08,9.29,0.92
2957,0.07,9.28,0.93
3060,0.1,9.29,0.92
3163,0.05,9.3,0.91
3265,0.09,9.31,0.94
3367,0.06,9.31,0.92
3471,0.07,9.29,0.92
3573,0.07,9.29,0.93
3676,0.08,9.29,0.93
3779,0.09,9.31,0.95
3883,0.08,9.31,0.94
3985,0.05,9.31,0.91
4087,0.09,9.3,0.95
4191,0.08,9.29,0.93
4294,0.07,9.3,0.9
4397,0.08,9.29,0.93
4499,0.07,9.3,0.91
4602,0.08,9.29,0.91
4706,0.08,9.3,0.91
4808,0.07,9.3,0.93
4911,0.06,9.3,0.93
5014,0.08,9.3,0.92
5118,0.08,9.32,0.92
5220,0.07,9.32,0.96
5322,0.1,9.3,0.94
5425,0.09,9.3,0.95
5528,0.09,9.29,0.94
5630,0.06,9.29,0.93
5733,0.08,9.3,0.9
5836,0.08,9.31,0.94
5940,0.05,9.29,0.94
6042,0.07,9.29,0.9
6145,0.09,9.28,0.91
6249,0.09,9.31,0.93
6351,0.09,9.3,0.91
6454,0.07,9.3,0.89
6557,0.08,9.31,0.91
6661,0.1,9.28,0.91
6763,0.09,9.3,0.92
6865,0.08,9.29,0.92
6969,0.08,9.3,0.92
7072,0.08,9.3,0.92
7175,0.07,9.31,0.95
7277,0.07,9.3,0.93
7379,0.08,9.3,0.94
7483,0.07,9.31,0.94
7586,0.08,9.3,0.92
7688,0.08,9.3,0.96
7792,0.05,9.31,0.93
7896,0.07,9.31,0.96
7998,0.07,9.29,0.96
8099,0.08,9.3,0.94
8203,0.08,9.31,0.93
8307,0.1,9.3,0.94
8409,0.11,9.29,0.93
8511,0.08,9.29,0.93
8614,0.07,9.29,0.9
8719,0.08,9.28,0.93
8821,0.08,9.29,0.95
8923,0.07,9.29,0.93
9026,0.07,9.29,0.91
9131,0.08,9.29,0.92
9233,0.08,9.31,0.95
9335,0.08,9.29,0.92
9438,0.08,9.28,0.92
9541,0.08,9.29,0.93
9644,0.09,9.3,0.94
9745,0.08,9.3,0.93
9848,0.08,9.28,0.95
9953,0.08,9.3,0.95
10055,0.07,9.28,0.94
10158,0.08,9.31,0.93
10261,0.08,9.29,0.94
10364,0.08,9.3,0.92
10467,0.09,9.3,0.93
10570,0.07,9.29,0.9
10674,0.06,9.3,0.93
10776,0.07,9.3,0.94
10878,0.06,9.3,0.93
10982,0.09,9.29,0.93
11085,0.09,9.3,0.91
11188,0.07,9.3,0.95
11290,0.07,9.3,0.94
11393,0.08,9.3,0.96
11496,0.08,9.28,0.95
11598,0.09,9.3,0.93
11701,0.07,9.3,0.94
11804,0.09,9.32,0.93
11908,0.06,9.27,0.94
12010,0.06,9.28,0.94
12112,0.06,9.3,0.92
12216,0.07,9.3,0.94
12319,0.07,9.28,0.92
12422,0.08,9.29,0.9
12525,0.1,9.29,0.92
12628,0.07,9.29,0.94
12731,0.08,9.31,0.91
12833,0.09,9.28,0.91
12937,0.07,9.29,0.96
13040,0.08,9.3,0.93
13143,0.08,9.3,0.92
13245,0.07,9.31,0.94
13347,0.09,9.28,0.95
13450,0.08,9.29,0.94
13553,0.07,9.28,0.94
13656,0.07,9.3,0.93
13759,0.08,9.28,0.95
13862,0.08,9.29,0.94
13965,0.07,9.27,0.92
14067,0.06,9.29,0.92
14171,0.08,9.29,0.91
14274,0.07,9.32,0.95
14376,0.09,9.28,0.93
14479,0.08,9.29,0.93
14582,0.08,9.31,0.92
14686,0.08,9.29,0.88
14788,0.08,9.3,0.94
14891,0.08,9.29,0.96
14994,0.09,9.27,0.91
15097,0.07,9.28,0.94
15200,0.08,9.31,0.95
15302,0.08,9.29,0.94
15406,0.06,9.28,0.95
15509,0.09,9.29,0.95
15611,0.07,9.3,0.95
15714,0.1,9.3,0.96
15817,0.06,9.29,0.92
15921,0.09,9.3,0.93
16023,0.08,9.28,0.95
16126,0.06,9.3,0.96
16230,0.06,9.28,0.93
16332,0.08,9.3,0.91
16435,0.06,9.3,0.88
16538,0.06,9.29,0.91
16642,0.08,9.27,0.93
16744,0.07,9.29,0.92
16846,0.06,9.29,0.92
16950,0.07,9.28,0.91
17053,0.08,9.31,0.94
17156,0.08,9.29,0.96
17258,0.07,9.26,0.91
17360,0.09,9.29,0.91
17464,0.07,9.31,0.92
17566,0.08,9.3,0.95
17669,0.07,9.29,0.94
17772,0.12,9.28,0.93
17875,0.11,9.32,0.91
17979,0.06,9.34,0.9
18081,0.03,9.4,1.01
18185,0.03,9.35,0.96
18288,0.06,9.31,0.93
18391,0.08,9.32,0.92
18494,0.09,9.31,0.93
18597,0.07,9.31,0.94
18700,0.1,9.28,0.9
