Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2)
48141,-0.98,-6.07,-6.28
48244,-1.64,-7.43,-8.05
48347,-1.20,-7.24,-6.12
48450,-1.42,-7.11,-6.75
48553,-1.05,-7.19,-7.27
48656,-1.60,-6.65,-6.30
48759,-1.26,-7.53,-6.42
48862,-1.10,-9.04,-5.69
48965,-1.73,-7.10,-6.68
49068,-1.43,-7.28,-6.14
49171,-1.46,-7.80,-6.23
49274,-1.39,-7.62,-6.35
49377,-1.30,-7.48,-5.92
49480,-1.77,-7.59,-6.74
49583,-1.30,-7.47,-6.00
49686,-1.56,-7.59,-6.38
49789,-1.57,-7.63,-6.18
49892,-1.52,-7.63,-6.17
49995,-1.45,-7.55,-6.37
50098,-1.49,-7.67,-6.17
50201,-1.56,-7.45,-6.42
50304,-1.52,-7.60,-6.17
50407,-1.60,-7.44,-6.40
50510,-1.49,-7.58,-6.23
50613,-1.41,-7.49,-6.41
50716,-1.56,-7.40,-6.28
50819,-1.59,-7.75,-6.33
50922,-1.72,-7.63,-6.32
51025,-1.58,-7.62,-6.30
51128,-1.67,-7.41,-6.23
51231,-1.46,-7.50,-6.40
51334,-1.54,-7.49,-6.38
51437,-1.66,-7.61,-6.33
51540,-1.63,-7.54,-6.31
51643,-1.55,-7.47,-6.26
51746,-1.61,-7.59,-6.34
51849,-1.63,-7.40,-6.15
51952,-1.69,-7.57,-6.46
52055,-1.63,-7.31,-6.30
52158,-1.67,-7.60,-6.08
52261,-1.71,-7.76,-6.46
52364,-1.56,-7.42,-6.15
52467,-1.65,-7.37,-6.25
52570,-1.55,-7.72,-6.20
52673,-1.63,-7.51,-6.39
52776,-1.68,-7.27,-6.31
52879,-1.73,-7.49,-6.51
52982,-0.90,-7.52,-5.44
53085,-2.37,-7.31,-7.73
53188,-1.60,-7.95,-5.16
53291,-1.40,-7.19,-5.55
53394,-2.29,-7.66,-6.98
53497,-1.61,-7.81,-5.42
53600,-1.77,-7.89,-6.08
53703,-1.75,-7.19,-6.45
53806,-2.04,-7.93,-5.59
53909,-1.80,-8.02,-5.78
54012,-1.79,-7.65,-6.00
54115,-1.97,-7.87,-5.98
54218,-1.73,-8.19,-5.56
54321,-1.73,-7.41,-6.11
54424,-1.83,-7.44,-5.80
54527,-1.81,-8.39,-5.92
54630,-1.82,-7.64,-5.98
54733,-1.85,-7.62,-5.53
54836,-1.79,-7.86,-5.97
54939,-1.74,-7.39,-5.77
55042,-2.03,-7.91,-5.88
55145,-1.32,-8.38,-5.36
55248,-2.02,-7.77,-6.52
55351,-2.04,-14.89,-3.12
55454,-8.09,-1.70,2.35
55557,-15.59,0.78,-19.60
55660,-6.96,-5.43,-4.10
55763,2.46,-6.82,-5.17
55866,-0.25,-6.92,-4.60
55969,-2.71,-6.12,-10.02
56072,-1.39,-7.53,-2.04
56175,-0.22,-13.36,5.58
56278,-0.09,-3.53,-5.07
56381,1.15,-7.93,-3.52
56484,-11.02,1.75,-11.15
56587,-12.73,5.44,-19.61
56690,-6.52,-5.29,4.59
56793,0.43,-19.61,0.11
56896,4.89,-3.47,-2.73
56999,0.73,-7.20,-4.60
57102,-5.99,-4.20,-13.01
57205,-1.58,-6.78,-4.58
57308,-2.79,-7.62,-10.48
57411,2.51,-2.43,-9.64
57514,10.02,-3.39,3.03
57617,-5.05,-5.94,-7.57
57720,1.48,-0.66,-15.33
57823,4.11,-7.82,13.99
57926,-13.39,-12.86,-11.13
58029,2.23,0.59,-13.27
58132,0.82,-13.89,12.97
58235,6.66,3.92,-18.05
58338,0.78,-12.65,6.96
58441,2.12,-3.34,-16.14
58544,2.83,-5.98,7.44
58647,-3.88,-12.31,-10.08
58750,3.87,-5.56,-4.77
58853,0.60,-11.48,1.01
58956,10.42,-0.30,-12.86
59059,2.50,-10.42,5.29
59162,7.98,-0.97,-19.61
59265,6.13,-3.56,4.57
59368,3.78,-6.81,-7.43
59471,1.20,-7.90,-11.07
59574,3.28,-4.91,-2.50
59677,3.57,-10.08,-8.12
59780,3.07,-3.36,-8.21
59883,1.84,-10.08,-9.09
59986,1.02,-3.46,-7.80
60089,-0.50,-5.63,-9.27
60192,6.03,-1.35,-4.23
60295,-9.64,-19.61,-6.13
60398,5.41,5.27,-14.65
60501,2.08,2.83,15.97
60604,-14.52,-16.19,-13.90
60707,1.23,5.94,-12.67
60810,3.59,-4.75,13.35
60913,-1.08,-11.78,-4.46
61016,5.74,-1.12,-7.23
61119,7.78,-4.15,7.90
61222,0.51,-10.09,-7.32
61325,6.06,-1.84,-7.51
61428,2.19,-14.16,7.78
61531,0.79,-3.90,-19.61
61634,5.89,-4.12,1.53
61737,-1.29,-16.31,9.52
61840,3.10,0.36,-19.61
61943,2.79,-4.51,6.66
62046,2.13,-15.31,3.15
62149,-0.61,-6.61,-13.39
62252,4.73,-8.66,-5.78
62355,3.20,-7.97,3.47
62458,-3.23,-10.26,-12.35
62561,-0.29,-5.88,-6.16
62664,-0.34,-7.01,2.83
62767,-4.86,-10.44,-15.01
62870,1.92,-3.92,-4.22
62973,-3.17,-9.96,-1.29
63076,-4.83,-4.57,-15.31
63179,2.71,-1.87,-0.41
63282,-6.67,-11.14,-11.46
63385,-2.20,-0.66,-11.67
63488,-3.88,-6.72,3.67
63591,-9.76,-9.16,-19.50
63694,-1.42,0.30,-3.02
63797,-5.57,-13.68,-0.51
63900,-5.94,-0.68,-18.91
64003,-2.05,-1.07,4.37
64106,-7.95,-13.01,-17.34
64209,-1.73,2.11,-4.63
64312,-5.50,-13.34,-4.35
64415,-4.87,1.68,-13.67
64518,-2.87,-5.37,1.36
64621,-6.47,-8.54,-16.92
64724,-0.07,1.05,-2.10
64827,-8.79,-10.68,-8.85
64930,-7.39,-0.24,-13.34
65033,4.24,0.55,2.65
65136,-11.40,-14.61,-13.82
65239,-8.18,1.38,-9.41
65342,-1.71,-5.48,4.17
65445,-9.33,-10.19,-18.30
65548,-2.00,0.57,-4.10
65651,-1.67,-7.56,-2.14
65754,-6.46,-5.58,-17.43
65857,0.20,0.49,0.24
65960,-5.99,-13.23,-9.27
66063,-3.59,-1.27,-9.92
66166,-1.18,-6.38,0.08
66269,-4.07,-11.00,-13.90
66372,-1.97,-2.53,-3.59
66475,-2.08,-9.81,-6.99
66578,-3.13,-5.02,-8.56
66681,-1.78,-7.58,-5.35
66784,-2.74,-6.30,-8.14
66887,-2.55,-6.36,-6.05
66990,-2.80,-6.58,-6.99
67093,-2.26,-6.83,-7.07
67196,-2.37,-6.70,-6.70
67299,-2.37,-6.44,-7.12
67402,-2.22,-6.73,-6.85
67505,-2.53,-6.93,-6.78
67608,-2.44,-6.57,-6.99
67711,-2.31,-6.96,-6.78
67814,-2.44,-6.86,-6.93
67917,-2.05,-6.78,-7.08
68020,-2.09,-6.95,-6.73
68123,-2.43,-6.78,-7.04
68226,-2.57,-6.73,-6.98
68329,-2.15,-7.21,-6.73
68432,-2.56,-7.00,-6.66
68535,-2.23,-6.61,-7.16
68638,-1.19,-6.63,-6.57
68741,-3.78,-5.52,-5.63
68844,-5.98,-4.24,-10.29
68947,-3.30,-5.18,-7.22
69050,-2.52,-4.92,-7.96
69153,-3.30,-5.48,-8.63
69256,-2.71,-4.88,-7.87
69359,-2.08,-5.35,-9.01
69462,-1.41,-5.77,-8.61
69565,0.18,-3.13,-9.07
69668,1.16,-3.37,-7.30
69771,-0.10,-3.13,-9.99
69874,-0.72,-3.35,-10.04
69977,-0.33,-2.03,-10.99
70080,2.51,-2.00,-6.49
70183,-1.33,-2.23,-9.05
70286,-2.55,-0.79,-13.47
70389,2.24,-2.28,-6.15
70492,1.14,-2.49,-7.55
70595,-2.35,-2.02,-11.39
70698,-0.57,-0.17,-12.37
70801,3.53,-2.57,-7.10
70904,-19.23,-9.26,4.54
71007,-4.61,0.31,-16.92
71110,0.93,3.27,-1.77
71213,-4.02,-1.90,-15.47
71316,-3.96,1.53,-6.93
71419,-1.87,0.86,-7.27
71522,-4.14,-2.85,-9.69
71625,-1.18,-1.54,-8.36
71728,-1.72,-3.64,-9.81
71831,-1.90,-0.95,-11.02
71934,0.46,-5.22,-8.09
72037,-2.00,-1.87,-8.79
72140,-3.06,-3.08,-12.45
72243,-0.19,-3.04,-7.04
72346,-0.14,-2.85,-8.98
72449,-4.27,-1.45,-11.65
72552,-1.36,-4.25,-8.74
72655,-1.27,-2.34,-8.28
72758,-4.38,-0.99,-10.25
72861,-3.59,-1.64,-9.53
72964,-3.99,-4.13,-8.46
73067,-3.28,-0.61,-9.17
73170,-2.77,-4.28,-8.90
73273,-4.39,-0.34,-9.53
73376,-3.10,-2.99,-8.84
73479,-3.23,-2.06,-8.86
73582,-3.49,-1.77,-9.74
73685,-2.68,-2.32,-8.91
73788,-3.40,-2.30,-9.31
73891,-2.99,-2.18,-9.11
73994,-3.33,-2.40,-9.21
74097,-3.48,-2.10,-8.99
74200,-3.37,-2.23,-9.18
74303,-4.33,-3.22,-8.31
74406,-4.19,-2.14,-10.02
74509,-3.54,-2.07,-7.99
74612,-2.89,-3.14,-9.25
74715,-3.94,-1.95,-8.85
74818,-2.98,-1.46,-10.29
74921,-3.65,-1.22,-7.11
75024,-3.99,-2.44,-9.70
75127,-4.46,-1.16,-9.92
75230,-3.49,-2.18,-7.26
75333,-4.30,-1.81,-9.52
75436,-3.94,-2.15,-9.23
75539,-3.73,-2.32,-8.55
75642,-3.81,-2.73,-8.93
75745,-3.86,-2.13,-9.11
75848,-3.75,-2.26,-8.86
75951,-3.90,-2.12,-9.12
76054,-3.57,-2.68,-8.60
76157,-3.41,-2.72,-9.00
76260,-4.84,-1.82,-8.89
76363,-4.11,-1.59,-8.81
76466,-4.92,-1.25,-10.63
76569,-0.82,-7.23,-6.80
76672,-3.83,-2.37,-9.14
76775,-4.19,-3.91,-8.70
76878,-1.49,0.21,-10.35
76981,-3.45,-1.65,-10.34
77084,-1.18,-4.85,-8.38
77187,-1.58,-3.02,-8.50
77290,-2.50,-2.89,-10.44
77393,-2.02,-2.51,-8.54
77496,-2.01,-2.31,-12.26
77599,-0.56,-3.81,-7.58
77702,2.98,-4.09,-7.47
77805,3.06,-6.76,-9.35
77908,-0.29,3.49,-8.34
78011,2.96,-11.92,-10.87
78114,-2.24,1.74,-8.89
78217,-2.22,-3.81,-12.29
78320,-1.93,2.94,-8.49
78423,-4.27,-2.24,-11.69
78526,-2.94,-3.80,-7.81
78629,-0.14,-3.16,-7.02
78732,-5.36,-1.07,-12.38
78835,-2.72,-3.20,-8.04
78938,-2.31,-3.06,-8.31
